tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,intent,brand_reply,order_id
100000,cust_0,True,2024-02-27,"@ShopHelp the laptop stand I got in order 126225 stopped working after 2 days, this is so disappointing",200000,,product_defect,So sorry to hear that! Please DM us your order number and a photo of the issue so we can arrange a replacement or refund. ^AS,126225
100001,cust_1,True,2024-04-26,@ShopHelp hey where is my order #542417? placed it 2 days ago and tracking hasn't moved,200001,,order_status,Hi! Sorry for the wait — let's take a look. Can you DM us your order number and zip code so we can check the latest tracking update? ^KM,542417
100002,cust_2,True,2024-08-28,"@ShopHelp order 688508 arrived with a cracked screen on the lamp, box looked fine so it must've shipped that way",200002,,product_defect,So sorry to hear that! Please DM us your order number and a photo of the issue so we can arrange a replacement or refund. ^AS,688508
100003,cust_3,True,2024-03-16,"@ShopHelp courier marked 106814 as delivered 4 days ago, nothing on my porch, checked with neighbors too",200003,,delivery_issue,So sorry to hear that! Send us a DM with order #106814 and we'll start a lost package claim right away. ^RT,106814
100004,cust_4,True,2024-06-21,"@ShopHelp really disappointed with my experience lately, used to love shopping here",200004,,general_complaint,We're really sorry to hear that and we want to make this right. Can you DM us more details so we can look into what happened? ^KM,452944
100005,cust_5,True,2024-07-12,"@ShopHelp watch from order 946335 is missing parts, can barely use it",200005,,product_defect,So sorry to hear that! Please DM us your order number and a photo of the issue so we can arrange a replacement or refund. ^AS,946335
100006,cust_6,True,2024-01-17,@ShopHelp where's my refund for order 969693?? you people took the item back but never gave my money,200006,,refund_request,We're sorry for the delay! Refunds can take 5-7 business days to post once we receive the return. Can you DM your order # so we can verify it's been processed on our end? ^KM,969693
100007,cust_7,True,2024-08-21,"@ShopHelp charged $89 more than what the checkout page showed for order 183667, this better get fixed",200007,,billing_dispute,That shouldn't happen — DM us order #183667 and we'll look into the charge discrepancy right away. ^RT,183667
100008,cust_8,True,2024-03-27,@ShopHelp hey where is my order #472528? placed it 5 days ago and tracking hasn't moved,200008,,order_status,Thanks for flagging this! Could you DM us order #472528 along with your shipping address so we can pull up the exact status? ^AS,472528
100009,cust_9,True,2024-06-11,"@ShopHelp my account got locked after I tried logging in from my new phone, need help ASAP",200009,,account_access,Sorry for the trouble! Please DM the email associated with your account and we'll help unlock/reset it. ^RT,271339
100010,cust_10,True,2024-04-28,"@ShopHelp courier marked 133659 as delivered 7 days ago, nothing on my porch, checked with neighbors too",200010,,delivery_issue,"That's really frustrating, we're sorry. Please DM us your order number and address so we can open a carrier investigation and get this resolved. ^KM",133659
100011,cust_11,True,2024-03-18,@ShopHelp how do I cancel my subscription? can't find the option anywhere on the app,200011,,cancellation,We can help with that — DM us your account email and we'll walk you through cancelling the subscription. ^RT,429963
100012,cust_12,True,2024-07-28,"Hi @ShopHelp, can you tell me the status of order #881177? No shipping confirmation yet.",200012,,order_status,Thanks for flagging this! Could you DM us order #881177 along with your shipping address so we can pull up the exact status? ^AS,881177
100013,cust_13,True,2024-01-13,"@ShopHelp this is unacceptable, order 329974 was supposed to arrive 4 days ago and now tracking just stopped updating",200013,,delivery_issue,"That's really frustrating, we're sorry. Please DM us your order number and address so we can open a carrier investigation and get this resolved. ^KM",329974
100014,cust_14,True,2024-07-24,@ShopHelp hey where is my order #267753? placed it 8 days ago and tracking hasn't moved,200014,,order_status,"Hey there, we understand the concern. Please send us a DM with your order # and email on file and we'll investigate right away. ^RT",267753
100015,cust_15,True,2024-02-19,"@ShopHelp need a refund on order 680099, product is defective, already contacted support twice with no response",200015,,refund_request,Apologies for the inconvenience — please DM your order number and we'll check the refund status and escalate if it's past the window. ^RT,680099
100016,cust_16,True,2024-05-26,@ShopHelp where's my refund for order 575763?? you people took the item back but never gave my money,200016,,refund_request,We're sorry for the delay! Refunds can take 5-7 business days to post once we receive the return. Can you DM your order # so we can verify it's been processed on our end? ^KM,575763
100017,cust_17,True,2024-06-25,"@ShopHelp jacket from order 260263 is missing parts, can barely use it",200017,,product_defect,So sorry to hear that! Please DM us your order number and a photo of the issue so we can arrange a replacement or refund. ^AS,260263
100018,cust_18,True,2024-02-12,@ShopHelp hey where is my order #480612? placed it 6 days ago and tracking hasn't moved,200018,,order_status,Hi! Sorry for the wait — let's take a look. Can you DM us your order number and zip code so we can check the latest tracking update? ^KM,480612
100019,cust_19,True,2024-08-27,"@ShopHelp I can't log into my account, keeps saying invalid password even after reset",200019,,account_access,Sorry for the trouble! Please DM the email associated with your account and we'll help unlock/reset it. ^RT,955662
100020,cust_20,True,2024-04-19,"@ShopHelp just checking in on my order 653306, still says processing",200020,,order_status,Thanks for flagging this! Could you DM us order #653306 along with your shipping address so we can pull up the exact status? ^AS,653306
100021,cust_21,True,2024-04-17,"@ShopHelp this is unacceptable, order 804314 was supposed to arrive 7 days ago and now tracking just stopped updating",200021,,delivery_issue,"That's really frustrating, we're sorry. Please DM us your order number and address so we can open a carrier investigation and get this resolved. ^KM",804314
100022,cust_22,True,2024-01-12,"@ShopHelp just checking in on my order 122056, still says processing",200022,,order_status,Hi! Sorry for the wait — let's take a look. Can you DM us your order number and zip code so we can check the latest tracking update? ^KM,122056
100023,cust_23,True,2024-02-26,"@ShopHelp I can't log into my account, keeps saying invalid password even after reset",200023,,account_access,We can help with that — DM us the email on file (not the password) and we'll look into the login issue. ^AS,161733
100024,cust_24,True,2024-08-17,"@ShopHelp order 801474 arrived completely crushed, box was soaking wet too",200024,,delivery_issue,We hate to hear that — please DM your order number and a photo of the damage so we can process a replacement. ^AS,801474
